Date, Open, Close*, Volume
7-May-21, 419.89, 422.12, 67742619
6-May-21, 415.83, 419.07, 73813600
5-May-21, 417.38, 415.75, 39960700
4-May-21, 416.07, 415.62, 101591200
3-May-21, 419.43, 418.2, 68128300
30-Apr-21, 417.63, 417.3, 85448400
29-Apr-21, 420.32, 420.06, 78544300
28-Apr-21, 417.81, 417.4, 51238900
27-Apr-21, 417.93, 417.52, 51303100
26-Apr-21, 417.44, 417.61, 52182400
23-Apr-21, 412.87, 416.74, 73209200
22-Apr-21, 415.89, 412.27, 97582800
21-Apr-21, 411.51, 416.07, 66793000
20-Apr-21, 413.91, 412.17, 81851800
19-Apr-21, 416.26, 415.21, 78498500
16-Apr-21, 417.25, 417.26, 82037300
15-Apr-21, 413.74, 415.87, 60229800
14-Apr-21, 412.83, 411.45, 61659900
13-Apr-21, 411.53, 412.86, 56551000
12-Apr-21, 410.85, 411.64, 56704900
9-Apr-21, 408.39, 411.49, 61104600
8-Apr-21, 407.93, 408.52, 57863100
7-Apr-21, 405.94, 406.59, 55836300
